Time,Humidity,Temperature
2021-08-15 17:32:51.094007,80,38
2021-08-15 17:32:56.694320,86,39
2021-08-15 17:33:02.289801,92,12
2021-08-15 17:33:08.148805,54,29
2021-08-15 17:33:13.718315,51,21
2021-08-15 17:33:19.333984,53,30
2021-08-15 17:33:25.127037,93,23
2021-08-15 17:33:30.725322,85,35
2021-08-15 17:33:36.323845,80,30
2021-08-15 17:33:41.908725,79,25
2021-08-15 17:33:47.477115,65,39
2021-08-15 17:33:53.076751,50,21
2021-08-15 17:33:58.658737,95,32
2021-08-15 17:34:04.351095,98,31
2021-08-15 17:34:09.970545,57,38
